代码,name,收盘,筑底位,生命线,胜率,评分,强度,逻辑
601077,渝农商行,6.57,46.5%,12日,32.26%,0,标准,回踩12线+中继
600210,紫江企业,7.57,71.1%,10日,24.39%,0,标准,回踩10线+中继
601065,江盐集团,8.46,43.3%,13日,22.81%,0,标准,回踩13线+中继
605018,长华集团,11.46,49.6%,30日,48.28%,0,标准,回踩30线+中继
002615,哈尔斯,7.71,33.6%,16日,28.57%,0,标准,回踩16线+底部
600054,黄山旅游,11.44,33.6%,31日,22.50%,0,标准,回踩31线+底部
600874,创业环保,6.04,48.7%,22日,14.29%,0,标准,回踩22线+中继
600780,通宝能源,5.8,55.7%,10日,14.63%,0,标准,回踩10线+中继
002170,芭田股份,12.49,80.4%,22日,58.33%,0,标准,回踩22线+中继
600671,天目药业,17.47,72.4%,12日,58.70%,0,标准,回踩12线+中继
000862,银星能源,6.06,63.9%,11日,43.75%,0,标准,回踩11线+中继
002116,中国海诚,10.48,53.4%,12日,25.93%,0,标准,回踩12线+中继
000619,海螺新材,6.22,39.8%,16日,46.88%,0,标准,回踩16线+底部
002561,徐家汇,9.38,69.3%,26日,45.16%,0,标准,回踩26线+中继
002078,太阳纸业,15.7,85.8%,11日,46.94%,0,标准,回踩11线+中继
002022,科华生物,6.18,36.4%,10日,50.00%,0,标准,回踩10线+底部
600388,龙净环保,16.2,80.4%,18日,55.56%,0,标准,回踩18线+中继
601111,中国国航,8.98,82.8%,11日,45.24%,0,标准,回踩11线+中继
603836,海程邦达,13.75,46.9%,18日,26.47%,0,标准,回踩18线+中继
601956,东贝集团,7.31,63.0%,10日,52.78%,0,标准,回踩10线+中继
000990,诚志股份,8.17,95.3%,10日,33.33%,0,标准,回踩10线+中继
002999,天禾股份,6.85,66.1%,17日,9.09%,0,标准,回踩17线+中继
001236,弘业期货,10.81,36.6%,10日,58.06%,0,标准,回踩10线+底部
002643,万润股份,15.81,91.9%,10日,53.66%,0,标准,回踩10线+中继
605151,西上海,19.02,55.8%,11日,40.38%,0,标准,回踩11线+中继
603378,亚士创能,6.91,34.4%,10日,27.50%,0,标准,回踩10线+底部
000686,东北证券,9.68,65.9%,11日,56.41%,0,标准,回踩11线+中继
600526,菲达环保,5.43,72.6%,14日,34.04%,0,标准,回踩14线+中继
603585,苏利股份,19.5,64.9%,10日,27.91%,0,标准,回踩10线+中继
605567,春雪食品,11.06,79.5%,15日,43.24%,0,标准,回踩15线+中继
603233,大参林,18.38,75.5%,10日,26.67%,0,标准,回踩10线+中继
603648,畅联股份,10.61,53.7%,10日,38.78%,0,标准,回踩10线+中继
002299,圣农发展,16.6,67.5%,10日,37.93%,0,标准,回踩10线+中继
002483,润邦股份,7.18,70.2%,13日,34.21%,0,标准,回踩13线+中继
603178,圣龙股份,19.16,45.0%,11日,50.00%,0,标准,回踩11线+中继
600897,厦门空港,17.26,43.2%,40日,32.43%,0,标准,回踩40线+中继
002910,庄园牧场,11.51,52.9%,23日,48.39%,0,标准,回踩23线+中继
002692,远程股份,5.31,56.3%,10日,34.00%,0,标准,回踩10线+中继
600873,梅花生物,10.21,41.8%,27日,23.08%,0,标准,回踩27线+中继
600546,山煤国际,10.61,57.5%,10日,36.11%,0,标准,回踩10线+中继
002282,博深股份,7.53,46.1%,11日,18.60%,0,标准,回踩11线+中继
001202,炬申股份,16.06,34.7%,10日,37.50%,0,标准,回踩10线+底部
000828,东莞控股,10.91,49.2%,10日,19.57%,0,标准,回踩10线+中继
002319,乐通股份,12.57,66.6%,12日,47.50%,0,标准,回踩12线+中继
603599,广信股份,11.88,58.0%,11日,42.22%,0,标准,回踩11线+中继
600970,中材国际,10.38,90.6%,20日,33.33%,0,标准,回踩20线+中继
600820,隧道股份,6.53,33.1%,14日,29.63%,0,标准,回踩14线+底部
603518,锦泓集团,9.83,38.0%,34日,57.89%,0,标准,回踩34线+底部
002833,弘亚数控,16.61,40.5%,10日,20.93%,0,标准,回踩10线+中继
000544,中原环保,8.36,48.1%,11日,12.28%,0,标准,回踩11线+中继
601939,建设银行,9.06,48.7%,16日,20.00%,0,标准,回踩16线+中继
000881,中广核技,9.31,90.5%,10日,41.30%,0,标准,回踩10线+中继
603165,荣晟环保,12.76,38.7%,25日,29.63%,0,标准,回踩25线+底部
002877,智能自控,9.46,54.1%,12日,33.33%,0,标准,回踩12线+中继
600731,湖南海利,6.96,47.0%,16日,38.71%,0,标准,回踩16线+中继
603885,吉祥航空,15.06,88.2%,15日,51.22%,0,标准,回踩15线+中继
002631,德尔未来,5.92,75.4%,17日,41.67%,0,标准,回踩17线+中继
002696,百洋股份,7.4,85.2%,36日,35.48%,0,标准,回踩36线+中继
603577,汇金通,10.89,67.9%,11日,39.22%,0,标准,回踩11线+中继
600535,天士力,15.31,43.1%,20日,4.35%,0,标准,回踩20线+中继
601921,浙版传媒,8.14,31.6%,10日,12.77%,0,标准,回踩10线+底部
002412,汉森制药,6.72,70.2%,17日,51.35%,0,标准,回踩17线+中继
