代码,name,筑底位,生命线,胜率,评分,强度,逻辑
603041,美思德,40.4%,10日,30.43%,0,标准,回踩10线+中继
000059,华锦股份,78.8%,10日,29.27%,0,标准,回踩10线+中继
603158,腾龙股份,38.4%,17日,46.15%,0,标准,回踩17线+底部
002033,丽江股份,52.0%,10日,36.36%,0,标准,回踩10线+中继
600019,宝钢股份,61.3%,16日,48.28%,0,标准,回踩16线+中继
002614,奥佳华,65.0%,40日,45.83%,0,标准,回踩40线+中继
002552,宝鼎科技,84.6%,10日,58.54%,0,标准,回踩10线+中继
001239,永达股份,48.1%,37日,45.45%,0,标准,回踩37线+中继
601111,中国国航,82.8%,11日,45.24%,0,标准,回踩11线+中继
600470,六国化工,50.4%,13日,50.00%,0,标准,回踩13线+中继
603386,骏亚科技,65.4%,29日,42.86%,0,标准,回踩29线+中继
603071,物产环能,65.3%,11日,21.28%,0,标准,回踩11线+中继
000685,中山公用,61.7%,35日,41.67%,0,标准,回踩35线+中继
000862,银星能源,63.9%,11日,43.75%,0,标准,回踩11线+中继
002561,徐家汇,69.3%,26日,45.16%,0,标准,回踩26线+中继
000619,海螺新材,39.8%,16日,46.88%,0,标准,回踩16线+底部
600388,龙净环保,80.4%,18日,55.56%,0,标准,回踩18线+中继
603327,福蓉科技,42.4%,36日,30.00%,0,标准,回踩36线+中继
002022,科华生物,36.4%,10日,50.00%,0,标准,回踩10线+底部
002999,天禾股份,66.1%,17日,9.09%,0,标准,回踩17线+中继
601901,方正证券,48.5%,14日,26.00%,0,标准,回踩14线+中继
000990,诚志股份,95.3%,10日,33.33%,0,标准,回踩10线+中继
603836,海程邦达,46.9%,18日,26.47%,0,标准,回踩18线+中继
002643,万润股份,91.9%,10日,53.66%,0,标准,回踩10线+中继
605151,西上海,55.8%,11日,40.38%,0,标准,回踩11线+中继
001236,弘业期货,36.6%,10日,58.06%,0,标准,回踩10线+底部
603378,亚士创能,34.4%,10日,27.50%,0,标准,回踩10线+底部
603155,新亚强,71.1%,34日,44.44%,0,标准,回踩34线+中继
601339,百隆东方,97.4%,10日,34.09%,0,标准,回踩10线+中继
000570,苏常柴Ａ,47.3%,11日,12.24%,0,标准,回踩11线+中继
603387,基蛋生物,68.4%,24日,36.00%,0,标准,回踩24线+中继
600350,山东高速,33.5%,38日,33.33%,0,标准,回踩38线+底部
603586,金麒麟,61.3%,10日,36.67%,0,标准,回踩10线+中继
603027,千禾味业,32.7%,12日,50.00%,0,标准,回踩12线+底部
000411,英特集团,87.0%,11日,22.92%,0,标准,回踩11线+中继
002800,天顺股份,69.1%,10日,42.42%,0,标准,回踩10线+中继
002606,大连电瓷,62.4%,10日,33.33%,0,标准,回踩10线+中继
603677,奇精机械,33.0%,12日,24.44%,0,标准,回踩12线+底部
603585,苏利股份,64.9%,10日,27.91%,0,标准,回踩10线+中继
601065,江盐集团,43.3%,13日,22.81%,0,标准,回踩13线+中继
600780,通宝能源,55.7%,10日,14.63%,0,标准,回踩10线+中继
002170,芭田股份,80.4%,22日,58.33%,0,标准,回踩22线+中继
002615,哈尔斯,33.6%,16日,28.57%,0,标准,回踩16线+底部
600874,创业环保,48.7%,22日,14.29%,0,标准,回踩22线+中继
600671,天目药业,72.4%,12日,58.70%,0,标准,回踩12线+中继
600897,厦门空港,43.2%,40日,32.43%,0,标准,回踩40线+中继
603178,圣龙股份,45.0%,11日,50.00%,0,标准,回踩11线+中继
000686,东北证券,65.9%,11日,56.41%,0,标准,回踩11线+中继
603599,广信股份,58.0%,11日,42.22%,0,标准,回踩11线+中继
600873,梅花生物,41.8%,27日,23.08%,0,标准,回踩27线+中继
600546,山煤国际,57.5%,10日,36.11%,0,标准,回踩10线+中继
000828,东莞控股,49.2%,10日,19.57%,0,标准,回踩10线+中继
002319,乐通股份,66.6%,12日,47.50%,0,标准,回踩12线+中继
600526,菲达环保,72.6%,14日,34.04%,0,标准,回踩14线+中继
600054,黄山旅游,33.6%,31日,22.50%,0,标准,回踩31线+底部
600210,紫江企业,71.1%,10日,24.39%,0,标准,回踩10线+中继
605018,长华集团,49.6%,30日,48.28%,0,标准,回踩30线+中继
601077,渝农商行,46.5%,12日,32.26%,0,标准,回踩12线+中继
600305,恒顺醋业,57.9%,28日,19.44%,0,标准,回踩28线+中继
605567,春雪食品,79.5%,15日,43.24%,0,标准,回踩15线+中继
002299,圣农发展,67.5%,10日,37.93%,0,标准,回踩10线+中继
002833,弘亚数控,40.5%,10日,20.93%,0,标准,回踩10线+中继
603165,荣晟环保,38.7%,25日,29.63%,0,标准,回踩25线+底部
600970,中材国际,90.6%,20日,33.33%,0,标准,回踩20线+中继
601939,建设银行,48.7%,16日,20.00%,0,标准,回踩16线+中继
000544,中原环保,48.1%,11日,12.28%,0,标准,回踩11线+中继
002483,润邦股份,70.2%,13日,34.21%,0,标准,回踩13线+中继
603648,畅联股份,53.7%,10日,38.78%,0,标准,回踩10线+中继
603233,大参林,75.5%,10日,26.67%,0,标准,回踩10线+中继
002910,庄园牧场,52.9%,23日,48.39%,0,标准,回踩23线+中继
002631,德尔未来,75.4%,17日,41.67%,0,标准,回踩17线+中继
603518,锦泓集团,38.0%,34日,57.89%,0,标准,回踩34线+底部
600820,隧道股份,33.1%,14日,29.63%,0,标准,回踩14线+底部
600731,湖南海利,47.0%,16日,38.71%,0,标准,回踩16线+中继
603885,吉祥航空,88.2%,15日,51.22%,0,标准,回踩15线+中继
601921,浙版传媒,31.6%,10日,12.77%,0,标准,回踩10线+底部
002412,汉森制药,70.2%,17日,51.35%,0,标准,回踩17线+中继
