代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603918,金桥信息,17.96,-9.97%,强,75.00%,轻仓试错,"缩量回踩11日支撑,历史触发28次"
601677,明泰铝业,14.88,-1.06%,极强 (一击必中),69.44%,分批建仓,"缩量回踩13日支撑,历史触发36次"
000555,神州信息,17.72,-2.85%,极强 (一击必中),66.67%,分批建仓,"缩量回踩15日支撑,历史触发18次"
002562,兄弟科技,6.83,-1.16%,极强 (一击必中),81.82%,分批建仓,"缩量回踩11日支撑,历史触发22次"
600191,华资实业,12.6,-1.18%,极强 (一击必中),80.00%,分批建仓,"缩量回踩32日支撑,历史触发5次"
000823,超声电子,14.35,1.2%,强,61.29%,轻仓试错,"缩量回踩12日支撑,历史触发31次"
002600,领益智造,16.51,2.29%,强,80.95%,轻仓试错,"缩量回踩14日支撑,历史触发21次"
002686,亿利达,6.75,0.9%,极强 (一击必中),70.00%,分批建仓,"缩量回踩40日支撑,历史触发10次"
603871,嘉友国际,14.15,-1.87%,极强 (一击必中),65.00%,分批建仓,"缩量回踩10日支撑,历史触发40次"
002826,易明医药,18.29,-0.44%,极强 (一击必中),62.96%,分批建仓,"缩量回踩14日支撑,历史触发27次"
603886,元祖股份,13.84,-0.93%,极强 (一击必中),78.26%,分批建仓,"缩量回踩31日支撑,历史触发23次"
002354,天娱数科,7.4,-7.85%,极强 (一击必中),71.88%,分批建仓,"缩量回踩10日支撑,历史触发32次"
000925,众合科技,8.78,0.69%,极强 (一击必中),61.54%,分批建仓,"缩量回踩40日支撑,历史触发13次"
605555,德昌股份,18.61,2.03%,强,73.68%,轻仓试错,"缩量回踩10日支撑,历史触发38次"
603028,赛福天,9.47,-0.42%,极强 (一击必中),69.70%,分批建仓,"缩量回踩10日支撑,历史触发33次"
603687,大胜达,10.72,-0.28%,极强 (一击必中),62.16%,分批建仓,"缩量回踩11日支撑,历史触发37次"
000410,沈阳机床,7.5,0.27%,极强 (一击必中),60.47%,分批建仓,"缩量回踩10日支撑,历史触发43次"
000586,汇源通信,13.84,0.0%,强,72.22%,轻仓试错,"缩量回踩29日支撑,历史触发18次"
605299,舒华体育,11.74,-3.29%,极强 (一击必中),83.87%,分批建仓,"缩量回踩10日支撑,历史触发31次"
603738,泰晶科技,16.42,-0.36%,极强 (一击必中),61.76%,分批建仓,"缩量回踩14日支撑,历史触发34次"
002170,芭田股份,12.43,-0.56%,极强 (一击必中),61.29%,分批建仓,"缩量回踩22日支撑,历史触发31次"
002905,金逸影视,10.86,-2.78%,极强 (一击必中),85.71%,分批建仓,"缩量回踩24日支撑,历史触发14次"
000417,合百集团,8.38,1.21%,强,83.33%,轻仓试错,"缩量回踩23日支撑,历史触发24次"
600366,宁波韵升,14.53,1.96%,强,66.67%,轻仓试错,"缩量回踩19日支撑,历史触发15次"
600539,狮头股份,10.5,-1.32%,极强 (一击必中),65.22%,分批建仓,"缩量回踩18日支撑,历史触发23次"
002225,濮耐股份,5.9,-0.67%,极强 (一击必中),60.00%,分批建仓,"缩量回踩18日支撑,历史触发15次"
600810,神马股份,8.83,-1.78%,极强 (一击必中),69.23%,分批建仓,"缩量回踩38日支撑,历史触发13次"
002098,浔兴股份,10.3,-2.74%,极强 (一击必中),68.57%,分批建仓,"缩量回踩12日支撑,历史触发35次"
002960,青鸟消防,11.25,1.63%,强,60.87%,轻仓试错,"缩量回踩11日支撑,历史触发23次"
603110,东方材料,16.39,-1.21%,极强 (一击必中),77.27%,分批建仓,"缩量回踩18日支撑,历史触发22次"
002911,佛燃能源,12.32,1.23%,强,78.26%,轻仓试错,"缩量回踩31日支撑,历史触发23次"
603177,德创环保,11.51,-0.95%,极强 (一击必中),62.50%,分批建仓,"缩量回踩10日支撑,历史触发48次"
002584,西陇科学,9.22,-2.02%,强,81.25%,轻仓试错,"缩量回踩40日支撑,历史触发16次"
600596,新安股份,12.56,1.45%,强,62.50%,轻仓试错,"缩量回踩10日支撑,历史触发40次"
600490,鹏欣资源,7.88,-3.55%,强,92.86%,轻仓试错,"缩量回踩27日支撑,历史触发14次"
002205,国统股份,13.94,1.75%,强,83.33%,轻仓试错,"缩量回踩21日支撑,历史触发24次"
002540,亚太科技,7.21,-0.83%,强,63.64%,轻仓试错,"缩量回踩11日支撑,历史触发44次"
002031,巨轮智能,8.32,2.97%,强,76.00%,轻仓试错,"缩量回踩15日支撑,历史触发25次"
600843,上工申贝,11.62,-1.44%,极强 (一击必中),75.00%,分批建仓,"缩量回踩33日支撑,历史触发12次"
601696,中银证券,14.27,0.0%,极强 (一击必中),100.00%,分批建仓,"缩量回踩39日支撑,历史触发1次"
