代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603898,好莱客,13.63,-0.87%,强,66.67%,轻仓试错,"缩量回踩29日支撑,历史触发9次"
002121,科陆电子,8.19,0.74%,强,62.96%,轻仓试错,"缩量回踩10日支撑,历史触发27次"
002840,华统股份,9.8,1.03%,强,61.11%,轻仓试错,"缩量回踩14日支撑,历史触发36次"
600897,厦门空港,17.47,1.22%,强,92.31%,轻仓试错,"缩量回踩40日支撑,历史触发13次"
002636,金安国纪,16.6,-0.42%,强,66.67%,轻仓试错,"缩量回踩28日支撑,历史触发21次"
603162,海通发展,12.35,-1.59%,强,64.71%,轻仓试错,"缩量回踩37日支撑,历史触发17次"
603177,德创环保,11.51,-0.35%,强,60.00%,轻仓试错,"缩量回踩10日支撑,历史触发45次"
600846,同济科技,14.11,-0.98%,强,76.67%,轻仓试错,"缩量回踩12日支撑,历史触发30次"
000905,厦门港务,14.15,1.22%,强,81.25%,轻仓试错,"缩量回踩23日支撑,历史触发16次"
600958,东方证券,10.99,0.73%,极强 (一击必中),63.64%,分批建仓,"缩量回踩11日支撑,历史触发33次"
603997,继峰股份,14.26,1.78%,强,65.22%,轻仓试错,"缩量回踩21日支撑,历史触发23次"
601279,英利汽车,5.08,0.0%,强,70.37%,轻仓试错,"缩量回踩37日支撑,历史触发27次"
000017,深中华A,8.1,1.38%,强,66.67%,轻仓试错,"缩量回踩37日支撑,历史触发18次"
002534,西子洁能,16.77,1.02%,强,75.00%,轻仓试错,"缩量回踩26日支撑,历史触发24次"
601696,中银证券,14.99,0.94%,强,62.50%,轻仓试错,"缩量回踩23日支撑,历史触发8次"
