代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
600601,方正科技,13.02,0.23%,极强 (一击必中),73.33%,分批建仓,"缩量回踩10日支撑,历史触发30次"
600538,国发股份,6.4,1.59%,强,66.67%,轻仓试错,"缩量回踩40日支撑,历史触发15次"
002603,以岭药业,17.91,1.07%,强,60.00%,轻仓试错,"缩量回踩18日支撑,历史触发20次"
002973,侨银股份,13.84,-1.84%,强,78.57%,轻仓试错,"缩量回踩31日支撑,历史触发14次"
603042,华脉科技,17.81,-0.56%,极强 (一击必中),60.61%,分批建仓,"缩量回踩15日支撑,历史触发33次"
002313,日海智能,10.61,1.43%,强,66.67%,轻仓试错,"缩量回踩39日支撑,历史触发6次"
002824,和胜股份,19.49,1.99%,强,66.67%,轻仓试错,"缩量回踩14日支撑,历史触发21次"
002197,ST证通,10.45,0.0%,极强 (一击必中),71.79%,分批建仓,"缩量回踩11日支撑,历史触发39次"
605001,威奥股份,7.79,-0.64%,极强 (一击必中),68.75%,分批建仓,"缩量回踩12日支撑,历史触发32次"
605555,德昌股份,18.73,0.16%,极强 (一击必中),76.92%,分批建仓,"缩量回踩10日支撑,历史触发39次"
600388,龙净环保,16.2,-0.8%,强,61.54%,轻仓试错,"缩量回踩18日支撑,历史触发26次"
002077,大港股份,15.63,1.3%,强,68.00%,轻仓试错,"缩量回踩10日支撑,历史触发50次"
600509,天富能源,8.78,-0.23%,强,64.00%,轻仓试错,"缩量回踩25日支撑,历史触发25次"
600167,联美控股,7.36,1.38%,强,62.07%,轻仓试错,"缩量回踩10日支撑,历史触发29次"
002476,宝莫股份,7.17,-1.51%,强,67.35%,轻仓试错,"缩量回踩13日支撑,历史触发49次"
600272,开开实业,14.31,0.99%,强,72.97%,轻仓试错,"缩量回踩10日支撑,历史触发37次"
603093,南华期货,19.84,0.46%,极强 (一击必中),62.96%,分批建仓,"缩量回踩10日支撑,历史触发27次"
603335,迪生力,5.67,1.25%,强,63.89%,轻仓试错,"缩量回踩10日支撑,历史触发36次"
603937,丽岛新材,12.29,0.33%,强,82.35%,轻仓试错,"缩量回踩24日支撑,历史触发17次"
603898,好莱客,13.75,-1.72%,强,66.67%,轻仓试错,"缩量回踩29日支撑,历史触发9次"
603890,春秋电子,16.35,-0.67%,强,70.83%,轻仓试错,"缩量回踩32日支撑,历史触发24次"
002840,华统股份,9.7,0.41%,强,62.86%,轻仓试错,"缩量回踩14日支撑,历史触发35次"
600897,厦门空港,17.26,-0.75%,极强 (一击必中),92.31%,分批建仓,"缩量回踩40日支撑,历史触发13次"
002758,浙农股份,10.12,1.81%,强,65.62%,轻仓试错,"缩量回踩23日支撑,历史触发32次"
002636,金安国纪,16.67,-0.54%,强,68.18%,轻仓试错,"缩量回踩27日支撑,历史触发22次"
002098,浔兴股份,10.09,1.41%,强,68.57%,轻仓试错,"缩量回踩12日支撑,历史触发35次"
605136,丽人丽妆,11.54,1.94%,强,78.95%,轻仓试错,"缩量回踩29日支撑,历史触发19次"
605138,盛泰集团,7.17,1.13%,强,69.57%,轻仓试错,"缩量回踩18日支撑,历史触发23次"
603177,德创环保,11.55,0.43%,强,60.00%,轻仓试错,"缩量回踩10日支撑,历史触发45次"
000905,厦门港务,13.98,-1.48%,强,81.25%,轻仓试错,"缩量回踩23日支撑,历史触发16次"
600958,东方证券,10.91,-0.27%,强,63.64%,轻仓试错,"缩量回踩11日支撑,历史触发33次"
603101,汇嘉时代,10.29,1.38%,强,68.00%,轻仓试错,"缩量回踩10日支撑,历史触发25次"
603997,继峰股份,14.01,-0.64%,强,69.57%,轻仓试错,"缩量回踩21日支撑,历史触发23次"
601279,英利汽车,5.08,-0.39%,强,71.43%,轻仓试错,"缩量回踩37日支撑,历史触发28次"
000011,深物业A,9.1,0.44%,强,63.64%,轻仓试错,"缩量回踩16日支撑,历史触发22次"
603610,麒盛科技,19.42,-0.21%,极强 (一击必中),76.19%,分批建仓,"缩量回踩31日支撑,历史触发21次"
600843,上工申贝,12.22,0.0%,极强 (一击必中),70.73%,分批建仓,"缩量回踩12日支撑,历史触发41次"
002534,西子洁能,16.6,-1.6%,强,75.00%,轻仓试错,"缩量回踩26日支撑,历史触发24次"
601696,中银证券,14.85,-0.2%,极强 (一击必中),62.50%,分批建仓,"缩量回踩23日支撑,历史触发8次"
